127.0.0.1 - - [02/May/2022:09:46:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/May/2022:09:46:43 +0900] "GET /2022_0428_html_tag/_02_css_test/_02_css_ex2.html HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [02/May/2022:09:46:44 +0900] "GET /2022_0428_html_tag/css/main_menu.css HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [02/May/2022:09:58:50 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [02/May/2022:10:07:41 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [02/May/2022:10:07:41 +0900] "GET /2022_0428_html_tag/css/sub_menu.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [02/May/2022:10:08:46 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:08:46 +0900] "GET /2022_0428_html_tag/css/sub_menu.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [02/May/2022:10:09:14 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:09:14 +0900] "GET /2022_0428_html_tag/css/sub_menu.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [02/May/2022:10:09:29 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:09:29 +0900] "GET /2022_0428_html_tag/css/sub_menu.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [02/May/2022:10:10:57 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [02/May/2022:10:10:57 +0900] "GET /2022_0428_html_tag/css/sub_menu.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [02/May/2022:10:10:59 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:10:59 +0900] "GET /2022_0428_html_tag/css/sub_menu.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [02/May/2022:10:11:05 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:11:05 +0900] "GET /2022_0428_html_tag/css/sub_menu.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [02/May/2022:10:11:11 +0900] "GET /2022_0428_html_tag/css/sub_menu.css HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [02/May/2022:10:11:30 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [02/May/2022:10:11:30 +0900] "GET /2022_0428_html_tag/css/submenu.css HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [02/May/2022:10:11:43 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:11:43 +0900] "GET /2022_0428_html_tag/css/submenu.css HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [02/May/2022:10:12:37 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:12:37 +0900] "GET /2022_0428_html_tag/css/submenu.css HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [02/May/2022:10:13:21 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:13:21 +0900] "GET /2022_0428_html_tag/css/submenu.css HTTP/1.1" 200 233
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:26 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:27 +0900] "GET /2022_0428_html_tag/css/submenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:41 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:43 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:46 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:47 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:51 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:52 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:52 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:52 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:52 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:52 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:52 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:52 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:53 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:36:53 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:37:14 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 200 590
0:0:0:0:0:0:0:1 - - [02/May/2022:10:37:14 +0900] "GET /2022_0428_html_tag/css/submenu.css HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [02/May/2022:10:38:25 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:38:25 +0900] "GET /2022_0428_html_tag/css/submenu.css HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [02/May/2022:10:38:31 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:38:31 +0900] "GET /2022_0428_html_tag/css/submenu.css HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [02/May/2022:10:39:29 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:39:29 +0900] "GET /2022_0428_html_tag/css/submenu.css HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [02/May/2022:10:39:58 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:39:58 +0900] "GET /2022_0428_html_tag/css/submenu.css HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [02/May/2022:10:53:17 +0900] "GET /2022_0428_html_tag/_02_css_test/_03_css_ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/May/2022:10:53:18 +0900] "GET /2022_0428_html_tag/css/submenu.css HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [02/May/2022:11:01:42 +0900] "GET /2022_0428_html_tag/_02_css_test/_04_css_ex4.html HTTP/1.1" 200 327
